	   7.44	   8.61	  -6.55	  66.58	  -0.31	   0.11
	   7.43	   8.61	  -6.56	  66.53	  -0.33	   0.11
	   7.43	   8.61	  -6.56	  66.58	  -0.37	   0.13
	   7.42	   8.60	  -6.57	  66.58	  -0.33	   0.11
	   7.42	   8.59	  -6.56	  66.27	  -0.40	   0.11
	   7.42	   8.59	  -6.57	  66.25	  -0.33	   0.11
	   7.42	   8.59	  -6.57	  66.23	  -0.35	   0.11
	   7.43	   8.59	  -6.57	  66.01	  -0.37	   0.11
	   7.43	   8.59	  -6.57	  65.96	  -0.40	   0.11
	   7.43	   8.58	  -6.56	  65.96	  -0.33	   0.11
	   7.44	   8.58	  -6.55	  66.05	  -0.35	   0.11
	   7.44	   8.58	  -6.55	  65.98	  -0.35	   0.11
	   7.46	   8.60	  -6.54	  65.94	  -0.44	   0.11
	   7.45	   8.61	  -6.55	  66.31	  -0.44	   0.11
	   7.45	   8.61	  -6.55	  66.31	  -0.44	   0.11
	   7.45	   8.62	  -6.55	  66.31	  -0.46	   0.11
	   7.44	   8.61	  -6.54	  66.58	  -0.46	   0.11
	   7.44	   8.61	  -6.55	  66.60	  -0.48	   0.11
	   7.44	   8.61	  -6.55	  66.62	  -0.51	   0.11
	   7.44	   8.61	  -6.55	  66.64	  -0.53	   0.11
	   7.44	   8.62	  -6.54	  66.53	  -0.51	   0.11
	   7.44	   8.62	  -6.54	  66.56	  -0.55	   0.11
	   7.44	   8.63	  -6.54	  66.84	  -0.55	   0.11
	   7.44	   8.64	  -6.54	  66.86	  -0.51	   0.11
	   7.45	   8.63	  -6.55	  66.88	  -0.48	   0.11
	   7.44	   8.63	  -6.55	  67.10	  -0.48	   0.11
	   7.44	   8.63	  -6.55	  67.15	  -0.48	   0.11
	   7.44	   8.62	  -6.54	  67.21	  -0.40	   0.11
	   7.44	   8.62	  -6.55	  67.13	  -0.37	   0.13
	   7.43	   8.64	  -6.52	  66.80	  -0.26	   0.11
	   7.42	   8.63	  -6.52	  66.82	  -0.22	   0.11
	   7.43	   8.61	  -6.53	  66.53	  -0.22	   0.11
	   7.43	   8.61	  -6.52	  66.49	  -0.33	   0.11
	   7.44	   8.61	  -6.53	  66.45	  -0.29	   0.11
	   7.44	   8.61	  -6.53	  66.31	  -0.29	   0.11
	   7.44	   8.61	  -6.53	  66.29	  -0.26	   0.11
	   7.45	   8.60	  -6.52	  66.31	  -0.15	   0.11
	   7.45	   8.60	  -6.51	  66.34	  -0.13	   0.11
	   7.45	   8.60	  -6.51	  66.29	  -0.11	   0.11
	   7.46	   8.61	  -6.50	  66.27	  -0.15	   0.11
	   7.46	   8.62	  -6.50	  66.51	  -0.15	   0.11
	   7.46	   8.63	  -6.49	  66.49	  -0.29	   0.11
